time,min_power,max_power
20200213:0710,42,373
20200213:0810,170,655
20200213:0910,189,844
20200213:1010,180,893
20200213:1110,188,857
20200213:1210,120,712
20200213:1310,92,488
20200213:1410,70,276
20200213:1510,1,104
20200213:1610,0,0
20200213:1710,0,0
20200213:1810,0,0
20200213:1910,0,0
20200213:2010,0,0
20200213:2110,0,0
20200213:2210,0,0
20200213:2310,0,0
20200214:0010,0,0
20200214:0110,0,0
20200214:0210,0,0
20200214:0310,0,0
20200214:0410,0,0
20200214:0510,0,0
20200214:0610,11,106
20200214:0710,46,373
20200214:0810,170,655
20200214:0910,240,861
20200214:1010,180,893
20200214:1110,188,857
20200214:1210,120,818
20200214:1310,92,563
20200214:1410,70,276
20200214:1510,1,104
20200214:1610,0,0
20200214:1710,0,0
20200214:1810,0,0
20200214:1910,0,0
20200214:2010,0,0
20200214:2110,0,0
20200214:2210,0,0
20200214:2310,0,0
20200215:0010,0,0
20200215:0110,0,0
20200215:0210,0,0
20200215:0310,0,0
20200215:0410,0,0
20200215:0510,0,0
20200215:0610,11,106
20200215:0710,46,373
20200215:0810,170,655
20200215:0910,240,861
20200215:1010,180,968
20200215:1110,225,986
20200215:1210,120,818
20200215:1310,92,563
20200215:1410,70,276
20200215:1510,1,108
20200215:1610,0,0
20200215:1710,0,0
20200215:1810,0,0
20200215:1910,0,0
20200215:2010,0,0
20200215:2110,0,0
20200215:2210,0,0
20200215:2310,0,0
20200216:0010,0,0
20200216:0110,0,0
20200216:0210,0,0
20200216:0310,0,0
20200216:0410,0,0
20200216:0510,0,0
20200216:0610,11,111
20200216:0710,46,390
20200216:0810,170,655
20200216:0910,240,908
20200216:1010,180,993
20200216:1110,225,986
20200216:1210,120,818
20200216:1310,92,631
20200216:1410,70,276
20200216:1510,1,110
20200216:1610,0,0
20200216:1710,0,0
20200216:1810,0,0
20200216:1910,0,0
20200216:2010,0,0
20200216:2110,0,0
20200216:2210,0,0
20200216:2310,0,0
20200217:0010,0,0
20200217:0110,0,0
20200217:0210,0,0
20200217:0310,0,0
20200217:0410,0,0
20200217:0510,0,0
20200217:0610,11,111
20200217:0710,46,390
20200217:0810,170,655
20200217:0910,240,908
20200217:1010,180,993
20200217:1110,225,986
20200217:1210,120,865
20200217:1310,92,631
20200217:1410,70,387
20200217:1510,1,113
20200217:1610,0,0
20200217:1710,0,0
20200217:1810,0,0
20200217:1910,0,0
20200217:2010,0,0
20200217:2110,0,0
20200217:2210,0,0
20200217:2310,0,0
20200218:0010,0,0
20200218:0110,0,0
20200218:0210,0,0
20200218:0310,0,0
20200218:0410,0,0
20200218:0510,0,0
20200218:0610,11,120
